Start Date,End Date,Activity Type,Client,Location,Age Group
9/7/15,9/7/15,F.E.P.,The Little Skool-House International Pte.Ltd Tampines,"100 Dairy Farm Rd, Singapore 679057",K2
8/12/17,8/12/17,F.E.P.,The Little Skool-House International Pte.Ltd Tampines,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K2
29/11/17,29/11/17,Prep Day,The Little Skool-House International Pte.Ltd Tampines,"300 Tampines Ave 5 #04-02/03/04 Tampines Junction, Singapore 529653",K2
15/6/16,15/6/16,F.E.P.,Creative O Preschoolers’ Bay ,"Kent Ridge Park, Vigilante Dr, Singapore 118176 ",K1
18/11/16,18/11/16,Prep Day,Treasure Box,-,K2
1/12/16,2/12/16,Camp,The Little Skool-House International Pte.Ltd By-the-Vista,Saint John's Island,K2
14/7/17,16/7/17,Adult Camp,Carz,Saint John's Island,Adult
18/9/17,19/9/17,Set Up,Creative O Preschoolers’ Bay ,Saint John's Island,-
20/9/17,22/9/17,Camp,Creative O Preschoolers’ Bay ,Saint John's Island,K2
13/2/18,13/2/18,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K1
2/3/18,3/3/18,Camp,The Little Skool-House International Pte.Ltd By-the-Vista,"601 Riﬂe Range Rd, Singapore 588398",K1
